user_id,item_id,rating,timestamp
0,0,5.0,1361664000
0,1,4.0,1361664000
0,2,4.0,1361664000
0,3,5.0,1364688000
0,4,5.0,1364688000
0,5,5.0,1372723200
0,6,5.0,1378944000
0,7,4.0,1378944000
0,8,4.0,1386374400
0,9,5.0,1386374400
0,10,4.0,1386374400
0,11,1.0,1386374400
1,13,5.0,1364947200
1,14,5.0,1364947200
1,15,5.0,1364947200
1,16,5.0,1364947200
2,18,5.0,1287878400
2,19,5.0,1288828800
2,20,5.0,1288828800
2,21,1.0,1303776000
2,22,5.0,1305331200
2,23,5.0,1305331200
2,24,5.0,1305331200
2,25,3.0,1309737600
2,26,5.0,1336694400
3,28,5.0,1373068800
3,29,5.0,1373068800
3,30,4.0,1373068800
3,31,5.0,1373068800
3,32,1.0,1373068800
3,33,5.0,1373068800
3,34,4.0,1373068800
3,35,5.0,1402876800
4,37,5.0,1360195200
4,38,5.0,1386892800
4,39,5.0,1392854400
4,40,5.0,1402358400
5,42,1.0,1352332800
5,43,5.0,1352332800
5,44,3.0,1359072000
5,45,5.0,1359072000
6,47,4.0,1362614400
6,48,5.0,1365033600
6,49,5.0,1365033600
6,50,5.0,1365724800
7,52,5.0,1128038400
7,53,5.0,1128038400
7,54,5.0,1128038400
7,55,5.0,1128038400
7,56,5.0,1128038400
7,57,5.0,1128038400
7,58,5.0,1128038400
7,59,5.0,1128038400
7,60,5.0,1128038400
7,61,5.0,1128038400
8,63,5.0,1355788800
8,64,5.0,1359504000
8,65,5.0,1359936000
8,66,5.0,1361923200
9,68,5.0,1368835200
9,69,5.0,1368835200
9,70,4.0,1368835200
9,71,5.0,1374451200
9,72,5.0,1374451200
9,73,4.0,1374451200
9,74,3.0,1374451200
9,75,5.0,1377043200
9,76,3.0,1377129600
9,77,5.0,1377129600
9,12,4.0,1379894400
10,79,5.0,1349654400
10,80,2.0,1391731200
10,81,4.0,1391731200
10,82,5.0,1391817600
10,83,5.0,1391904000
11,85,2.0,1378252800
11,86,5.0,1378252800
11,87,5.0,1384819200
11,88,5.0,1384819200
12,90,5.0,1344384000
12,91,3.0,1360800000
12,92,5.0,1360800000
12,93,3.0,1360800000
12,94,4.0,1360800000
12,95,5.0,1360800000
12,96,3.0,1368144000
13,98,5.0,1349222400
13,99,5.0,1369612800
13,100,4.0,1380672000
13,101,3.0,1380672000
14,103,5.0,1235088000
14,104,5.0,1241568000
14,105,5.0,1285891200
14,106,5.0,1285977600
14,107,5.0,1286064000
14,108,5.0,1286064000
14,109,5.0,1289260800
15,111,5.0,1363910400
15,112,5.0,1379203200
15,113,5.0,1379203200
