0,0,5136,578,827,2094
0,1,331,4253,6349,5067
0,2,4304,5069,2919,6558
0,3,6229,7046,1370,5659
0,4,1599,2326,3708,4766
0,5,6778,2391,7041,4130
0,6,5838,6357,3636,3936
0,7,5991,278,6332,5635
0,8,4421,3325,5803,2597
0,9,3598,3446,2262,2129
0,10,1766,4142,6784,4515
0,11,6091,966,6295,6268
1,13,454,2543,6491,2839
1,14,6444,2010,1057,3315
1,15,4077,418,5953,5244
1,16,4081,4531,6566,2071
2,18,113,6954,2884,2730
2,19,4959,5293,6877,2648
2,20,1452,919,6021,1986
2,21,1345,2044,1233,5194
2,22,923,3634,5892,1273
2,23,3316,4273,6761,454
2,24,627,984,3819,1727
2,25,1430,3077,1559,2984
2,26,5887,3942,3548,6304
3,28,2052,4705,5464,96
3,29,5502,5147,3369,1993
3,30,550,2712,560,6476
3,31,306,6744,1127,248
3,32,5479,815,3343,1978
3,33,3378,2122,1636,3489
3,34,5037,5670,3808,1828
3,35,3566,6529,4165,2452
4,37,3326,6762,3344,649
4,38,2669,2877,5299,5660
4,39,3731,625,2842,1228
4,40,5052,3915,6709,689
5,42,941,1171,6210,6736
5,43,400,6161,6712,4438
5,44,3416,996,5193,328
5,45,745,5695,4092,1724
6,47,5207,6720,679,3947
6,48,6405,210,4685,5290
6,49,4292,6435,2208,6257
6,50,2843,6953,5547,4223
7,52,2755,224,2334,5127
7,53,3363,6690,890,2903
7,54,70,1653,5862,6724
7,55,3326,2279,4145,5074
7,56,4663,759,4617,6803
7,57,5169,4478,4203,5568
7,58,6020,5700,5285,3726
7,59,3123,1831,4997,4028
7,60,4775,5866,5350,6008
7,61,6937,6989,4002,2453
8,63,2740,1389,4290,3818
8,64,6953,5458,2046,6099
8,65,3914,5644,6999,4892
8,66,7011,6702,1881,269
9,12,6789,3184,749,1293
9,68,2710,5365,5072,3057
9,69,6653,3583,4861,3528
9,70,900,428,4614,1271
9,71,1035,132,5187,3559
9,72,2930,6323,300,4371
9,73,4915,3209,2327,5399
9,74,5606,2555,1352,2265
9,75,3997,6386,4561,158
9,76,5803,3869,2586,2544
9,77,4162,3184,4675,5743
10,79,1392,3541,5102,3098
10,80,5389,1361,4058,2096
10,81,6365,4062,160,2632
10,82,3834,6277,3534,951
10,83,3319,3977,3671,4558
11,85,2925,685,6040,3739
11,86,2235,6093,3965,725
11,87,2092,1892,3984,5196
11,88,3016,3280,3045,5598
12,90,555,1575,5539,4769
12,91,5431,5220,1868,1412
12,92,4279,3552,1357,6767
12,93,594,1811,3204,5884
12,94,2007,3654,6199,2040
12,95,6768,4845,391,2408
12,96,3022,2471,909,1107
13,98,5272,412,3972,4758
13,99,2697,702,1497,4388
13,100,4540,5651,697,5968
13,101,6824,3203,870,1793
14,103,2117,2986,1001,1575
14,104,3489,2877,2224,3338
14,105,7,5003,4417,3435
14,106,399,6023,6620,5944
14,107,5960,2268,6078,2430
14,108,1486,5403,2200,4313
14,109,221,1977,949,7040
15,111,3769,867,2839,304
15,112,3279,2262,1322,5944
15,113,3521,6109,4633,959
15,114,3114,6786,800,6401
16,116,2014,5464,6023,103
16,117,6977,4776,1501,1953
16,118,5271,892,756,6548
16,119,1250,3770,844,4212
16,120,1311,5053,1127,6730
